,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,Reg16,CAN16
-42,C04 - SGC 1615,Time stamp,44551,1:38:00.3,0,1497,0,110,0,0, ,49.9,240,240,240,416,415,416,0,0,0,50,240,239,240,416,417,417,0,0,0,-0.09,47.3,27.4,35.6,0,#####,#####,#####,10000001 0000,10010001 0111,AUT,1498,21.2,74,29,4.68,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10100100 00000000,,,,#####,#####,#####,0,,
-43,C01 - SGB 1603,Time stamp,44551,1:38:00.3,0,1500,34,110,8,0.97,L,50,240,240,240,415,416,416,52,45,50,50,240,240,240,417,417,417,0,0,0,0.056,53.1,27.9,47.3,28,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,16.2,85,41,4.16,0.04,13,#####,#####,#####,#####,#####,#####,1111,11000000,0,10100100 00000000,,,,,,,,,
-44,C03 - SGC 1618,Time stamp,44551,1:38:00.2,0,1500,36,113,9,0.97,L,50,240,239,240,415,415,416,74,64,59,50,240,240,239,417,417,418,0,0,0,0.026,48.2,27.4,40,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,23.5,76,28,4.88,0.14,#####,,,,,,,10111100,,11100,10100100 00000000,#####,#####,2896436,,,,,,
-45,C06 - SGB 1601,Time stamp,44551,1:38:00.0,0,1498,39,111,10,0.96,L,50,240,240,240,415,416,417,74,60,70,50,240,239,240,418,418,418,0,0,0,0.008,52.3,28.3,53.2,28.2,#####,#####,50,10010000 0100,01001100 0011,MAN,1501,13.3,84,44,3.8,0.1,,,,,,,,,,,10100100 00000000,,,,,,,,11111110 00000000,11111110 00000000
-46,C02 - SGC 1617,Time stamp,44551,1:38:00.0,0,1506,0,111,0,0, ,50,239,241,238,417,414,413,0,0,0,50,240,240,240,416,417,418,0,0,0,0,50.5,27.1,38.5,0,#####,#####,#####,10000000 1000,10010001 0111,MAN,1499,14.2,67,38,5.32,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10100100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-47,C04 - SGC 1615,SyncStarted,44551,1:37:53.6,0,1499,0,114,0,0, ,50,241,240,240,417,415,417,0,0,0,50,240,239,240,416,417,417,0,0,0,0,47.3,27.4,35.6,0,#####,#####,#####,10000001 0000,10010001 0111,AUT,1500,20.5,74,29,4.68,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10100100 00000000,,,,#####,#####,#####,0,,
-48,C04 - SGC 1615,SetpointChange,44551,1:37:52.8,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49,C04 - SGC 1615,SetpointChange,44551,1:37:52.6,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50,C04 - SGC 1615,SetpointChange,44551,1:37:52.5,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-51,C02 - SGC 1617,Running,44551,1:37:40.4,0,709,0,125,0,0, ,23.7,32,32,32,55,55,55,0,0,0,50,240,240,240,415,415,416,0,0,0,0,50,24.9,38,24.4,#####,#####,#####,10000000 1000,10000000 0001,MAN,710,7.2,69,51,2.2,0,#####,#####,#####,#####,#####,#####,#####,10111100,0,10100,10100100 00000000,#####,#####,2163338,#####,#####,#####,0,,
