,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,VPI1,Reg16,CAN16
-716,C05 - SGP 1309,Time stamp,44409,15:16:00.1,0,1498,254,,270,0.68,L,50,246,247,245,426,425,426,494,501,488,50,248,247,246,429,429,429,0,0,0,0.06,70,28.1,65.4,26.9,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,64.1,88,55,4.4,0.68,49,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-717,C03 - SGC 1618,Time stamp,44409,15:16:00.1,0,1498,414,1795,421,0.7,L,50,244,243,244,422,422,423,857,810,774,50,243,244,244,423,423,425,0,0,0,-0.018,56.5,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,102.1,85,50,3.92,1.12,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991753,,,,,,,
-718,C01 - SGB 1603,Time stamp,44409,15:16:00.1,0,1500,331,1770,360,0.68,L,50,239,240,239,414,414,414,704,647,698,50,239,239,239,416,416,415,0,0,0,0.078,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,83.6,90,55,4.04,0.96,63,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-719,C06 - SGB 1601,Time stamp,44409,15:16:00.0,0,1499,379,1808,379,0.71,L,49.9,247,246,247,427,427,428,730,718,734,49.9,246,246,246,429,428,429,0,0,0,0.018,59.9,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,103.4,90,60,3.2,1.28,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-720,C06 - SGB 1601,Time stamp,44409,15:15:00.3,0,1501,399,1886,394,0.71,L,50,246,246,246,427,426,427,756,739,757,50,246,245,246,429,427,428,0,0,0,0.056,59.9,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,105.3,90,60,3.2,1.42,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-721,C05 - SGP 1309,Time stamp,44409,15:15:00.3,0,1500,269,,274,0.7,L,50,246,247,244,426,424,426,529,539,520,50,247,246,245,429,428,428,0,0,0,0.052,69.5,28.1,65.4,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1501,64.1,88,55,4.24,0.78,49,51,#####,#####,27.6,#####,#####,11110000,0,0,,51,276,,#####,#####,#####,0,0,,
-722,C04 - SGC 1615,Time stamp,44409,15:15:00.3,0,1498,417,1893,439,0.69,L,50,243,243,244,421,420,422,821,801,787,50,244,243,242,423,423,423,0,0,0,0.004,54.6,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,105.6,87,52,4.16,1.16,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-723,C03 - SGC 1618,Time stamp,44409,15:15:00.0,0,1502,434,1882,434,0.71,L,50,244,243,243,421,421,422,917,851,819,50,243,244,243,424,424,424,0,0,0,0.034,56.7,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,105.6,85,50,3.96,1.2,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991746,,,,,,,
-724,C01 - SGB 1603,Time stamp,44409,15:15:00.0,0,1497,364,1919,375,0.69,L,50,240,239,239,414,413,415,746,682,734,50,239,239,239,416,415,416,0,0,0,0.044,50.3,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,92.7,90,55,3.84,1.08,67,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-725,C06 - SGB 1601,Time stamp,44409,15:14:00.3,0,1500,381,1750,371,0.72,L,50,247,246,246,427,426,427,727,716,726,50,246,245,246,429,428,428,0,0,0,-0.01,59.7,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,103,90,59,3.2,1.32,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-726,C05 - SGP 1309,Time stamp,44409,15:14:00.3,0,1500,247,,265,0.68,L,50.1,246,247,244,426,424,425,492,502,485,50.1,247,246,246,428,429,428,0,0,0,0.072,69.9,28,65.4,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1501,59.8,88,55,4.48,0.68,48,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-727,C03 - SGC 1618,Time stamp,44409,15:14:00.3,0,1501,399,1756,423,0.68,L,50,244,243,243,422,421,423,839,791,761,50,243,244,243,423,422,424,0,0,0,0.036,56.3,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,99.3,84,49,3.96,1.12,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991739,,,,,,,
-728,C01 - SGB 1603,Time stamp,44409,15:14:00.3,0,1500,327,1747,356,0.68,L,50.1,240,239,239,414,413,415,704,648,698,50.1,239,239,239,416,415,415,0,0,0,0.068,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,84.4,90,55,4.16,0.96,62,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-729,C04 - SGC 1615,Time stamp,44409,15:14:00.2,0,1497,397,1771,424,0.68,L,50,244,243,243,422,420,422,786,771,752,50,243,243,242,423,423,423,0,0,0,-0.022,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,100.9,87,52,4.24,1.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-730,C05 - SGP 1309,Time stamp,44409,15:13:00.3,0,1500,264,,258,0.72,L,50,246,247,245,426,425,425,499,509,490,50,247,247,246,429,430,428,0,0,0,0.052,69.9,28.2,65.4,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,63.5,88,55,4.48,0.72,49,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-731,C01 - SGB 1603,Time stamp,44409,15:13:00.3,0,1498,346,1822,361,0.69,L,49.9,240,239,239,414,413,415,724,661,712,49.9,238,239,239,416,415,415,0,0,0,0.068,50.3,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1497,88,90,55,4.16,0.98,64,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-732,C06 - SGB 1601,Time stamp,44409,15:13:00.2,0,1497,377,1806,380,0.7,L,50,247,246,247,428,427,429,719,714,730,50,247,246,246,430,428,429,0,0,0,0.044,59.7,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,103.6,90,59,3.24,1.28,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-733,C03 - SGC 1618,Time stamp,44409,15:13:00.2,0,1499,408,1802,417,0.7,L,50,244,244,244,422,422,423,837,792,749,50,243,244,243,424,423,425,0,0,0,0.02,56.4,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,101.6,84,49,4.04,1.12,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991732,,,,,,,
-734,C04 - SGC 1615,Time stamp,44409,15:13:00.1,0,1499,415,1818,414,0.71,L,50,244,243,244,422,421,423,816,797,782,50,244,243,243,423,423,423,0,0,0,-0.002,54.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,102.1,87,52,4.2,1.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-735,C06 - SGB 1601,Time stamp,44409,15:12:00.2,0,1497,384,1804,383,0.71,L,50,247,246,247,427,427,428,741,728,743,50,247,246,247,429,429,430,0,0,0,0.056,59.9,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,103.3,90,59,3.2,1.34,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-736,C05 - SGP 1309,Time stamp,44409,15:12:00.2,0,1498,254,,261,0.7,L,50,246,247,244,427,425,425,491,497,483,50,247,247,246,429,430,428,0,0,0,0.064,69.2,28.1,65.4,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,62.6,87,55,4.48,0.7,48,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-737,C03 - SGC 1618,Time stamp,44409,15:12:00.2,0,1501,405,1782,419,0.69,L,50,245,243,244,422,422,423,852,793,762,50,244,243,243,424,422,425,0,0,0,0.02,56.4,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,101.4,84,49,4.04,1.16,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991725,,,,,,,
-738,C01 - SGB 1603,Time stamp,44409,15:12:00.2,0,1501,341,1808,363,0.68,L,50,240,240,239,415,414,415,723,657,708,50,238,239,239,416,416,416,0,0,0,0.064,50.3,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,86.6,90,55,4.24,1.04,64,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-739,C04 - SGC 1615,Time stamp,44409,15:12:00.1,0,1501,410,1802,421,0.7,L,50,243,243,244,422,421,422,844,825,805,50,244,242,243,423,423,423,0,0,0,-0.014,54.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,101.6,87,52,4.2,1.12,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-740,C05 - SGP 1309,Time stamp,44409,15:11:00.2,0,1502,242,,244,0.7,L,50.1,246,247,245,427,424,426,469,474,458,50.1,247,247,246,430,429,429,0,0,0,0.074,69.1,27.9,65.4,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1502,58.8,87,54,4.32,0.64,46,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-741,C06 - SGB 1601,Time stamp,44409,15:11:00.1,0,1503,376,1730,367,0.72,L,50.1,247,247,246,428,427,428,702,699,707,50.1,247,246,246,430,428,429,0,0,0,0.052,59.8,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1503,102.2,89,58,3.24,1.26,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-742,C03 - SGC 1618,Time stamp,44409,15:11:00.1,0,1501,387,1711,397,0.7,L,50.1,244,243,244,422,422,423,801,756,717,50.1,243,244,243,423,423,425,0,0,0,0.006,56,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1503,99.9,83,49,4.04,1.06,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991718,,,,,,,
-743,C01 - SGB 1603,Time stamp,44409,15:11:00.1,0,1501,322,1734,345,0.68,L,50,239,240,240,414,415,415,678,620,667,50,239,239,240,416,416,416,0,0,0,0.094,50.3,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,82.3,90,55,4,0.9,61,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-744,C04 - SGC 1615,Time stamp,44409,15:11:00.0,0,1501,391,1723,401,0.7,L,50.1,244,243,244,422,422,423,806,789,768,50.1,244,243,243,423,423,424,0,0,0,-0.016,53.9,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1504,96.5,86,51,4.24,1.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-745,C04 - SGC 1615,Time stamp,44409,15:10:00.3,0,1500,346,1533,358,0.69,L,50,244,243,243,422,420,422,700,691,668,50,243,242,243,421,423,423,0,0,0,-0.006,53.5,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,89.2,86,51,4.24,0.92,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-746,C05 - SGP 1309,Time stamp,44409,15:10:00.2,0,1500,221,,223,0.7,L,50,246,248,245,427,425,426,427,432,420,50,247,246,246,429,429,429,0,0,0,0.058,69.6,28.1,65.4,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,54.5,87,54,4.56,0.56,43,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-747,C01 - SGB 1603,Time stamp,44409,15:10:00.1,0,1497,294,1558,311,0.69,L,50,239,240,240,414,415,416,615,559,604,50,239,239,240,416,416,416,0,0,0,0.066,50.6,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,76.6,89,53,4.28,0.74,57,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-748,C06 - SGB 1601,Time stamp,44409,15:10:00.0,0,1500,330,1559,336,0.7,L,50,247,246,246,426,426,428,623,608,625,50,246,245,246,429,427,429,0,0,0,0.054,59.7,28.2,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,94.5,89,57,3.28,1.02,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-749,C03 - SGC 1618,Time stamp,44409,15:10:00.0,0,1498,347,1537,357,0.7,L,50,244,243,243,421,421,423,711,680,641,50,243,243,243,422,422,424,0,0,0,0.014,55.3,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,89.8,83,48,4.08,0.92,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991712,,,,,,,
-750,C05 - SGP 1309,Time stamp,44409,15:09:00.4,0,1500,204,,211,0.69,L,50,246,247,244,426,424,425,404,413,395,50,247,246,245,429,428,428,0,0,0,0.082,69.6,28.1,65.4,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,49.9,87,55,4.52,0.48,39,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-751,C06 - SGB 1601,Time stamp,44409,15:09:00.3,0,1500,300,1390,303,0.7,L,50,247,246,246,427,427,428,590,584,595,50,247,246,246,430,428,429,0,0,0,-0.204,59.7,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,86.3,89,58,3.28,0.92,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-752,C04 - SGC 1615,Time stamp,44409,15:09:00.2,0,1497,316,1412,340,0.68,L,50,243,243,243,421,420,421,629,622,603,50,243,242,243,422,423,423,0,0,0,0.006,53.4,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,83.6,86,52,4.28,0.78,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-753,C03 - SGC 1618,Time stamp,44409,15:09:00.0,0,1497,318,1403,351,0.67,L,50,244,243,243,421,421,422,668,632,600,50,243,243,243,423,422,423,0,0,0,-0.002,55.3,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,83.2,83,49,4.08,0.8,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991706,,,,,,,
-754,C01 - SGB 1603,Time stamp,44409,15:09:00.0,0,1499,253,1354,285,0.66,L,50,240,240,239,415,415,416,561,511,548,50,239,240,239,417,416,416,0,0,0,0.088,50.8,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,63.9,90,54,4.28,0.62,49,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-755,C05 - SGP 1309,Time stamp,44409,15:08:00.4,0,1501,231,,245,0.68,L,50,246,247,244,426,425,425,450,457,440,50,247,246,246,428,429,429,0,0,0,0.046,69.1,27.8,65.4,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,55,87,54,4.36,0.6,45,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-756,C03 - SGC 1618,Time stamp,44409,15:08:00.3,0,1501,367,1610,379,0.7,L,50,244,243,243,421,421,422,769,725,684,50,243,243,243,423,422,424,0,0,0,0.02,55.9,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,92.8,83,49,4.08,0.98,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991700,,,,,,,
-757,C01 - SGB 1603,Time stamp,44409,15:08:00.3,0,1500,308,1623,321,0.69,L,50,240,240,239,415,414,414,644,589,634,50,238,239,240,415,416,416,0,0,0,0.06,50.8,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,77.4,90,54,3.96,0.82,59,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-758,C06 - SGB 1601,Time stamp,44409,15:08:00.2,0,1499,334,1607,346,0.69,L,50,247,246,246,427,426,428,660,645,663,50,246,246,246,430,428,429,0,0,0,0,59.9,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,95.3,89,58,3.24,1.06,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-759,C04 - SGC 1615,Time stamp,44409,15:08:00.2,0,1501,372,1607,377,0.7,L,50,243,243,244,421,421,423,752,734,725,50,243,242,243,422,422,423,0,0,0,-0.004,54,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,94.3,86,51,4.2,0.96,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-760,C03 - SGC 1618,Time stamp,44409,15:07:00.3,0,1501,372,1609,376,0.7,L,50,243,242,243,420,420,421,773,733,697,50,243,243,242,422,421,423,0,0,0,0,55.7,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,93.7,83,49,4.12,1.02,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991694,,,,,,,
-761,C01 - SGB 1603,Time stamp,44409,15:07:00.3,0,1504,309,1616,318,0.7,L,50,239,239,240,412,414,415,641,587,630,50,239,239,239,416,416,417,0,0,0,0.006,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,78.9,89,54,3.92,0.86,59,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-762,C06 - SGB 1601,Time stamp,44409,15:07:00.2,0,1501,336,1621,351,0.69,L,50,247,246,246,427,426,428,666,653,669,50,247,245,246,429,427,429,0,0,0,0.086,59.7,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,96.4,89,58,3.24,1.06,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-763,C05 - SGP 1309,Time stamp,44409,15:07:00.2,0,1500,227,,234,0.7,L,50,246,247,244,426,425,425,440,449,436,50,247,246,246,429,429,428,0,0,0,0.038,69.5,28.1,65.4,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1500,54.1,87,54,4.36,0.6,44,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-764,C04 - SGC 1615,Time stamp,44409,15:07:00.1,0,1501,372,1620,375,0.7,L,50,243,243,243,421,420,421,750,734,717,50,243,242,242,421,422,422,0,0,0,0.002,53.7,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,93.3,86,51,4.2,1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-765,C01 - SGB 1603,Time stamp,44409,15:06:00.3,0,1498,322,1698,322,0.71,L,49.9,239,239,238,414,413,414,672,620,656,49.9,238,239,239,416,416,415,0,0,0,0.078,50.7,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,84.4,90,57,4.32,0.84,61,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-766,C05 - SGP 1309,Time stamp,44409,15:06:00.2,0,1499,258,,235,0.74,L,50,246,247,244,426,424,425,484,491,475,50,247,246,245,429,428,428,0,0,0,0.014,69.2,28.1,65.4,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1499,63.3,87,55,4.6,0.68,49,51,#####,#####,27.6,#####,#####,11110000,0,0,,51,276,,#####,#####,#####,0,0,,
-767,C03 - SGC 1618,Time stamp,44409,15:06:00.2,0,1497,398,1731,375,0.73,L,50,244,242,243,421,420,422,793,751,722,50,243,243,242,422,421,423,0,0,0,-0.01,55.8,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,100.5,83,49,4.04,1.06,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991688,,,,,,,
-768,C06 - SGB 1601,Time stamp,44409,15:06:00.1,0,1499,349,1746,353,0.7,L,50,246,246,246,427,426,428,674,671,681,50,246,245,246,429,428,428,0,0,0,0.15,59.8,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1497,98.9,89,58,3.24,1.1,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-769,C04 - SGC 1615,Time stamp,44409,15:06:00.0,0,1496,392,1725,377,0.72,L,49.9,243,243,243,421,420,421,783,773,755,49.9,242,242,242,421,422,422,0,0,0,-0.004,53.8,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,97.5,87,51,4.2,1.02,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-770,C06 - SGB 1601,Time stamp,44409,15:05:00.3,0,1501,362,1716,360,0.71,L,50,246,246,247,426,427,428,710,693,712,50,247,246,247,429,428,429,0,0,0,0.114,59.9,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,100.8,89,58,3.24,1.18,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-771,C04 - SGC 1615,Time stamp,44409,15:05:00.3,0,1499,394,1720,404,0.7,L,50,243,243,243,422,421,422,800,779,770,50,243,242,243,422,423,423,0,0,0,-0.004,54.2,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,99.3,87,51,4.2,1.04,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-772,C01 - SGB 1603,Time stamp,44409,15:05:00.2,0,1498,326,1731,349,0.68,L,50,239,239,239,413,412,414,693,633,682,49.9,238,239,239,416,416,415,0,0,0,0.066,50.5,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,83.2,90,54,4.2,0.9,62,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-773,C03 - SGC 1618,Time stamp,44409,15:05:00.1,0,1498,394,1732,401,0.7,L,50,244,243,243,421,421,423,824,768,736,50,243,243,243,423,422,424,0,0,0,0.022,56.2,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,96.5,83,49,4.08,1.06,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991682,,,,,,,
-774,C05 - SGP 1309,Time stamp,44409,15:05:00.0,0,1499,254,,268,0.69,L,50,246,247,244,426,424,425,512,521,503,50,247,246,246,429,429,428,0,0,0,0.024,69.2,28.1,65.4,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1499,59.9,87,54,4.32,0.66,48,51,#####,#####,27.3,#####,#####,11110000,0,0,,51,273,,#####,#####,#####,0,0,,
-775,C05 - SGP 1309,Time stamp,44409,15:04:00.4,0,1499,230,,259,0.66,L,49.9,246,247,244,426,424,426,474,481,468,49.9,247,246,246,429,429,428,0,0,0,0.072,69.5,27.9,65.4,26.9,#####,#####,#####,00000000 0011,10010010 0001,AUT,1499,56,87,55,4.44,0.58,45,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-776,C06 - SGB 1601,Time stamp,44409,15:04:00.3,0,1498,357,1647,357,0.71,L,50,247,246,247,427,427,429,702,683,704,50,247,245,246,429,427,429,0,0,0,0.048,59.7,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,99.9,89,58,3.24,1.18,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-777,C04 - SGC 1615,Time stamp,44409,15:04:00.2,0,1494,374,1661,392,0.69,L,50,243,243,244,422,420,422,734,724,706,50,243,242,243,422,422,423,0,0,0,-0.014,54.1,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,97.8,87,52,4.16,0.96,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-778,C01 - SGB 1603,Time stamp,44409,15:04:00.1,0,1496,302,1635,343,0.66,L,49.9,239,240,239,414,413,414,668,612,660,49.9,238,239,239,416,416,415,0,0,0,0.068,50.4,28,70.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1497,78.3,90,54,4,0.78,58,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-779,C03 - SGC 1618,Time stamp,44409,15:04:00.0,0,1499,381,1648,395,0.69,L,49.9,243,242,243,420,420,421,826,780,749,49.9,242,242,242,422,421,423,0,0,0,0.024,55.9,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1496,95.6,82,49,4.12,1,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991676,,,,,,,
-780,C03 - SGC 1618,Time stamp,44409,15:03:00.3,0,1498,387,1713,391,0.7,L,50,244,243,243,421,421,422,811,766,725,50,243,243,243,422,422,424,0,0,0,0.022,55.9,27.3,59,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,97.7,81,48,4.12,1.04,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1991669,,,,,,,
-781,C06 - SGB 1601,Time stamp,44409,15:03:00.2,0,1500,359,1714,362,0.7,L,50,247,246,246,427,426,428,691,685,700,50,246,245,246,429,428,428,0,0,0,0.092,59.7,28.3,64.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,99.8,89,58,3.24,1.16,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-782,C05 - SGP 1309,Time stamp,44409,15:03:00.2,0,1499,249,,229,0.74,L,50,246,247,244,426,424,426,456,463,449,50,247,246,246,428,428,429,0,0,0,0.042,69.6,27.9,65.4,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1498,60.7,87,55,4.28,0.66,46,51,#####,#####,27.6,#####,#####,11110000,0,0,,51,276,,#####,#####,#####,0,0,,
-783,C04 - SGC 1615,Time stamp,44409,15:03:00.1,0,1498,396,1721,387,0.72,L,49.9,243,243,243,422,420,421,772,756,740,49.9,243,242,242,422,422,422,0,0,0,0.004,54,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,98.4,87,51,4.24,1.04,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
